dataset,frames,method,factor,label,order,auc30,auc15,auc5,auc3,mean_inference_seconds,median_inference_seconds,total_inference_seconds,num_samples,accuracy_file,profile_file,command
re10k,10,avggt,2,AVGGT-2,2,0.5253604938271607,0.3273975308641976,0.0995851851851852,0.0514074074074074,0.527813797655205,0.5324814021587372,158.34413929656148,300,results/re10k_manifest_eval_avggt2_f10.json,results/re10k_profile_avggt2_f10.json,uv run python eval_re10k.py --profile --frames 10 --avggt --subsample-factor 2
re10k,10,avggt,4,AVGGT-4,4,0.5247654320987655,0.3248543209876543,0.09684444444444444,0.0491604938271605,0.5093137799855322,0.5093238530680537,152.79413399565965,300,results/re10k_manifest_eval_avggt4_f10.json,results/re10k_profile_avggt4_f10.json,uv run python eval_re10k.py --profile --frames 10 --avggt --subsample-factor 4
re10k,10,avggt,6,AVGGT-6,6,0.5219629629629631,0.31948148148148153,0.09247407407407407,0.04513580246913581,0.5100365353903423,0.515248613897711,153.01096061710268,300,results/re10k_manifest_eval_avggt6_f10.json,results/re10k_profile_avggt6_f10.json,uv run python eval_re10k.py --profile --frames 10 --avggt --subsample-factor 6
re10k,10,avggt,9,AVGGT-9,9,0.5166469135802471,0.31559012345679016,0.08831111111111112,0.042024691358024696,0.47937091627158224,0.47843466931954026,143.81127488147467,300,results/re10k_manifest_eval_avggt9_f10.json,results/re10k_profile_avggt9_f10.json,uv run python eval_re10k.py --profile --frames 10 --avggt --subsample-factor 9
re10k,20,baseline,,VGGT,0,0.527498245614035,0.3298959064327486,0.1009859649122807,0.05231578947368421,0.9036031251183401,0.8964915121905506,271.080937535502,300,results/re10k_manifest_eval.json,results/re10k_profile.json,uv run python eval_re10k.py --profile
re10k,20,avggt,1,AVGGT-1,1,0.5273257309941521,0.3293450292397661,0.100059649122807,0.0513859649122807,0.8579596842980634,0.8456481220200658,257.387905289419,300,results/re10k_manifest_eval_avggt1.json,results/re10k_profile_avggt1.json,uv run python eval_re10k.py --profile --avggt --subsample-factor 1
re10k,20,avggt,2,AVGGT-2,2,0.5306789473684211,0.3318491228070176,0.10044561403508771,0.05135672514619883,0.8812236493111899,0.8651677286252379,264.36709479335696,300,results/re10k_manifest_eval_avggt2.json,results/re10k_profile_avggt2.json,uv run python eval_re10k.py --profile --avggt --subsample-factor 2
re10k,20,avggt,4,AVGGT-4,4,0.5327239766081872,0.33137894736842105,0.09881754385964911,0.049736842105263156,0.8531464171937356,0.8391638840548694,255.9439251581207,300,results/re10k_manifest_eval_avggt4.json,results/re10k_profile_avggt4.json,uv run python eval_re10k.py --profile --avggt --subsample-factor 4
re10k,20,avggt,6,AVGGT-6,6,0.5306397660818714,0.3268701754385966,0.09470877192982456,0.04521052631578947,0.8459382574477543,0.8319560158997774,253.7814772343263,300,results/re10k_manifest_eval_avggt6.json,results/re10k_profile_avggt6.json,uv run python eval_re10k.py --profile --avggt --subsample-factor 6
re10k,20,avggt,9,AVGGT-9,9,0.5207128654970758,0.3171076023391812,0.08738245614035087,0.04130994152046783,0.832342826994136,0.8281587935052812,249.7028480982408,300,results/re10k_manifest_eval_avggt9.json,results/re10k_profile_avggt9.json,uv run python eval_re10k.py --profile --avggt --subsample-factor 9
re10k,60,baseline,,VGGT,0,0.5230357187696171,0.3251475204017577,0.09942937853107343,0.051900188323917136,3.2268828570252905,3.222284493036568,968.0648571075872,300,results/re10k_manifest_eval_f60.json,results/re10k_profile_f60.json,uv run python eval_re10k.py --profile --frames 60
re10k,60,avggt,1,AVGGT-1,1,0.5227318267419961,0.32546089139987444,0.09876158192090395,0.05089265536723164,2.827927746310209,2.8259746246039867,848.3783238930628,300,results/re10k_manifest_eval_avggt1_f60.json,results/re10k_profile_avggt1_f60.json,uv run python eval_re10k.py --profile --frames 60 --avggt --subsample-factor 1
re10k,60,avggt,2,AVGGT-2,2,0.5261406779661015,0.3280435655994978,0.09874199623352166,0.049875706214689265,2.674077876529967,2.672526568174362,802.22336295899,300,results/re10k_manifest_eval_avggt2_f60.json,results/re10k_profile_avggt2_f60.json,uv run python eval_re10k.py --profile --frames 60 --avggt --subsample-factor 2
re10k,60,avggt,4,AVGGT-4,4,0.5287072190834903,0.3268886377903327,0.09691864406779663,0.04842372881355932,2.489539693451176,2.4865233106538653,746.8619080353528,300,results/re10k_manifest_eval_avggt4_f60.json,results/re10k_profile_avggt4_f60.json,uv run python eval_re10k.py --profile --frames 60 --avggt --subsample-factor 4
re10k,60,avggt,6,AVGGT-6,6,0.5262129315756433,0.3221206528562461,0.0930768361581921,0.04473195229127432,2.4396528594630458,2.4301577867008746,731.8958578389138,300,results/re10k_manifest_eval_avggt6_f60.json,results/re10k_profile_avggt6_f60.json,uv run python eval_re10k.py --profile --frames 60 --avggt --subsample-factor 6
re10k,60,avggt,9,AVGGT-9,9,0.5130783427495291,0.30814965473948525,0.08113634651600754,0.03729001883239171,2.3786961289464186,2.378444134257734,713.6088386839256,300,results/re10k_manifest_eval_avggt9_f60.json,results/re10k_profile_avggt9_f60.json,uv run python eval_re10k.py --profile --frames 60 --avggt --subsample-factor 9
